MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
517.6,0.550217,9.381478,1.3954879999999998,0.334701,80.59510499999999,3818.374,64.76849,83.517
529.6,1.63,10.53,4.42,0.8,79.0,4016.52,69.18,76.3919
529.7,1.085,10.185,3.61,0.53,79.0,4017.165,69.72999999999999,75.8479
529.8,0.785,9.925,2.67,0.4,79.0,4018.07,70.03,75.3583
529.9,0.6100000000000001,9.895,2.89,0.27,79.0,4018.35,70.2,75.3074
530.0,0.575,9.92,3.3200000000000003,0.33,79.0,4018.37,70.24000000000001,76.0983
530.1,0.6799999999999999,9.945,3.94,0.33,79.0,4018.375,70.14,78.229
530.2,0.8,9.99,4.61,0.44,79.0,4017.995,70.015,81.5119
530.3,0.8200000000000001,10.0,3.235,0.44,79.0,4017.615,69.995,84.6283
530.4,0.785,10.0,4.295,0.505,79.0,4017.99,70.03,86.2039
530.5,0.77,10.0,3.93,0.52,79.0,4018.31,70.04,85.3481
530.6,0.755,10.0,3.205,0.53,79.0,4018.145,70.055,82.9938
530.7,0.78,10.015,3.725,0.53,79.0,4017.925,70.035,80.2299
530.8,0.86,10.045,2.555,0.6000000000000001,79.0,4017.785,69.94999999999999,77.9908
530.9,0.655,10.025,3.285,0.6000000000000001,79.0,4017.68,70.155,76.1602
531.0,0.36,9.85,3.07,0.66,79.0,4017.67,70.45,74.1172
531.1,0.3299999999999999,9.83,2.675,0.62,79.0,4017.89,70.485,71.3288
531.2,0.305,9.815,3.175,0.605,79.0,4018.05,70.50999999999999,68.2099
531.3,0.3,9.855,2.835,0.605,79.0,4018.185,70.52,65.7976
531.4,0.245,9.855,3.085,0.73,79.0,4018.225,70.565,65.3031
531.5,0.1699999999999999,9.86,3.96,0.73,79.0,4018.225,70.65,66.62
531.6,0.04,9.82,4.53,0.83,79.0,4018.19,70.78,68.5386
531.7,0.0799999999999999,9.775,3.605,0.815,79.0,4018.305,70.735,70.1043
531.8,0.12,9.73,2.68,0.8,79.0,4018.42,70.69,71.0057
532.0,0.105,9.71,2.9400000000000004,0.76,79.0,4018.39,70.71000000000001,71.6574
532.1,0.135,9.7,3.425,0.825,79.0,4018.365,70.67500000000001,71.7954
532.2,0.2,9.715,2.925,0.7749999999999999,79.0,4018.36,70.62,72.3356
532.3,0.1699999999999999,9.745,3.07,0.88,79.0,4018.355,70.64,73.8626
532.5,0.285,9.78,3.365,0.965,79.0,4018.345,70.535,80.2856
532.6,0.25,9.815,2.925,0.81,79.0,4018.36,70.56,83.4122
532.7,0.16,9.855,3.055,0.945,79.0,4018.36,70.66,85.3366
532.9,0.18,9.85,2.315,0.975,79.0,4018.37,70.66499999999999,86.021
533.0,0.1,9.855,2.46,0.81,79.0,4018.41,70.715,85.086
