BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
2145.92,8.0645,11.0855,13.286,14.617,92.258,2014.36,90.02600000000001,104.0
2146.38,11.646666666666668,11.119333333333335,14.154666666666666,13.802,93.05233333333332,2014.1,86.44433333333332,121.0
2146.91,12.224709677419357,11.005677419354836,13.003387096774194,13.802,92.8677741935484,2012.774193548387,85.86606451612903,100.0
2146.99,9.777,10.99975,11.76225,13.802,93.288,2013.765,88.3135,113.0
2147.29,10.469,11.0015,11.854,11.543,92.3445,2013.35,87.622,122.0
2147.43,10.4265,11.0255,13.195,11.543,93.3425,2012.99,87.6645,122.0
2147.65,10.313,11.04075,13.18075,11.543,93.366,2012.6075,87.77775,115.0
2148.0,10.1794,11.0334,11.9536,11.543,92.2758,2013.848,87.9114,97.0
2148.13,10.452,11.03,12.246,11.543,92.41575,2012.28,87.6385,102.0
2148.38,10.431,11.047333333333333,10.767666666666663,12.317,92.89066666666668,2013.39,87.66000000000001,121.0
2148.94,10.454,11.096,10.028,12.317,92.495,2014.06,87.636,119.0
2149.23,10.629,11.092,9.698,14.67,92.387,2012.56,87.46166666666666,105.0
2149.39,7.358,11.172,10.133,14.67,93.362,2014.06,90.733,111.0
2149.68,10.9845,11.0795,9.62,14.67,93.381,2013.23,87.1065,115.0
2149.85,10.555333333333332,11.265666666666666,8.367333333333333,14.67,92.51566666666668,2012.52,87.53566666666667,127.0
2150.73,11.404666666666666,10.980666666666666,10.848333333333334,15.795,92.00566666666668,2013.43,86.68599999999999,80.0
2150.99,11.157000000000002,11.035333333333334,8.892000000000001,15.795,92.97366666666666,2012.6766666666665,86.93333333333334,100.0
2151.15,11.097333333333331,10.976,8.717,15.795,91.05400000000002,2011.92,86.99366666666667,131.0
2151.58,11.034666666666666,11.095333333333334,7.895,15.379,91.76366666666668,2012.7133333333331,87.05633333333333,126.0
2152.27,11.3145,11.197,9.456,15.283,92.5905,2013.23,86.7765,125.0
2152.43,11.145,11.15,8.8975,15.283,92.1665,2010.73,86.946,126.0
2152.72,10.808,11.032666666666666,7.812666666666666,15.283,93.55133333333332,2013.35,87.28300000000002,123.0
2152.9,10.980333333333334,11.011333333333331,8.604000000000001,15.283,93.27866666666668,2012.99,87.11066666666666,101.0
2153.19,11.125666666666667,11.207333333333333,7.482666666666667,16.252,92.66366666666666,2012.9533333333327,86.96533333333332,86.0
2153.37,11.229,11.186,8.609,16.252,91.772,2012.64,86.862,82.0
2153.67,11.446,11.06,9.483,16.252,91.992,2012.99,86.645,88.0
2154.14,11.68,11.229333333333336,10.942333333333332,17.106,91.63666666666668,2013.51,86.41066666666666,106.0
2154.62,11.766333333333334,11.311333333333332,6.218666666666667,17.106,93.21933333333334,2013.11,86.32466666666666,117.0
2155.02,11.383,11.157,9.2925,17.106,92.45,2012.28,86.7075,98.0
2155.49,7.231,11.088,8.6255,13.563,92.639,2012.275,90.86,94.0
2155.79,11.243666666666668,11.055,9.022333333333334,13.563,93.26,2012.56,86.84733333333334,81.0
2155.97,9.912,11.065333333333331,5.049666666666667,13.563,92.88266666666668,2013.47,88.17900000000002,88.0
2156.56,10.021,11.2615,9.9805,17.177,91.722,2012.635,88.07,131.0
2156.97,10.06,11.092,9.659,17.177,93.921,2012.99,88.031,108.0
2157.23,10.818,11.145,9.1935,22.636,91.9225,2013.705,87.273,107.0
2157.67,11.5,11.345,9.893,22.636,91.595,2013.23,86.591,91.0
2157.94,11.665,11.318,11.068,22.636,92.813,2013.35,86.426,94.0
2158.22,11.698,11.0105,8.8965,25.28,92.4535,2012.75,86.393,96.0
2158.48,11.577000000000002,11.361,7.893499999999999,25.28,92.9365,2012.99,86.51400000000001,96.0
2158.65,11.213333333333331,11.130333333333333,9.068,25.28,91.70433333333334,2013.11,86.87766666666666,110.0
2158.95,11.386,11.2755,5.97125,25.28,91.61125,2013.23,86.70474999999999,119.0
2159.13,11.340666666666666,11.385333333333334,7.538,13.172000000000002,92.257,2012.16,86.75033333333333,119.0
2159.43,11.479,11.369,8.532333333333334,13.172000000000002,92.531,2014.1,86.61166666666668,111.0
2159.6,11.5775,11.1285,8.6205,13.172,92.104,2014.18,86.513,103.0
2159.91,11.06975,11.16125,7.411,13.172,92.42475,2012.96,87.02125,91.0
