MD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1668.48,56.7496,17.9126,7.50437,37.1483,51.128,929.019,56.7496,141.636023204015
1668.82,55.6973,18.2039,7.54388,37.1483,50.9551,929.019,55.6973,165.791782544771
1686.76,56.5815,18.9755,7.434,20.8209,51.4625,948.284,56.5815,128.415603714804
1686.97,56.4222,19.5164,7.48,20.8209,51.7627,948.284,56.4222,129.367190776647
1687.05,56.3612,19.5986,7.5495,20.8209,51.8805,948.284,56.3612,124.885583923337
1687.11,56.1976,19.7079,7.60887,20.5708,51.5784,948.284,56.1976,120.229275257479
1687.23,56.215,19.9439,7.67588,20.5708,51.7076,948.284,56.215,128.339177199661
1687.36,56.1921,19.9038,7.6515,20.5708,51.4112,948.284,56.1921,123.652066821424
1687.53,56.1983,20.0149,7.458,40.0057,51.8007,948.284,56.1983,115.972127115053
1687.57,56.1609,19.9914,7.5525,40.0057,51.7266,948.284,56.1609,118.353014301017
1687.69,56.1399,20.1093,7.8625,40.0057,51.6335,948.284,56.1399,119.850272167032
1687.74,56.1464,20.1386,7.97237,40.0057,51.3541,948.284,56.1464,116.140904424443
1687.86,56.174,20.1425,7.6635,40.0057,51.5613,948.284,56.174,122.07575312678
1688.34,55.8378,19.6019,7.063,37.7383,51.567,948.403,55.8378,148.873699874411
1688.47,56.2384,18.6513,7.34163,37.7383,51.4473,948.879,56.2384,157.814369941555
1688.49,56.2705,18.6189,7.23513,37.7383,51.6905,948.998,56.2705,146.982230775836
1688.71,56.285,18.685,7.60125,37.7383,51.5252,948.284,56.285,160.73881159566
1688.74,56.2751,18.6355,7.32487,37.7383,51.6373,948.403,56.2751,158.760170323064
1688.8,56.2702,18.5889,6.89337,37.7383,51.6183,948.641,56.2702,159.069020014329
1688.82,56.2774,18.558,6.95,37.7383,51.8862,948.522,56.2774,151.505401159458
1688.97,56.3329,18.4392,7.15763,37.7383,51.9261,948.284,56.3329,142.987286114708
1688.99,56.3273,18.4364,7.16275,37.7383,51.7912,948.284,56.3273,141.646170305204
1689.07,56.3658,18.4355,7.20937,37.7383,51.5309,948.284,56.3658,132.936022663929
1689.21,56.3763,18.6423,7.076,37.7383,51.6506,948.284,56.3763,113.661320274117
1689.23,56.3434,18.6947,7.0375,37.7383,51.662,948.403,56.3434,112.20650498062
1689.29,56.3027,18.787,7.18337,37.7383,51.4568,948.641,56.3027,98.4172934680989
1689.46,56.3047,18.447,6.97963,37.7383,51.6221,948.284,56.3047,106.375023273612
1689.49,56.281,18.4183,7.03375,37.7383,51.6164,948.284,56.281,112.013680588704
1702.55,56.0013,19.9716,7.45237,30.7339,51.5803,948.284,56.0013,195.123319404162
1703.8,56.2649,19.8634,7.76538,23.1992,51.7019,948.522,56.2649,177.973972230281
1705.54,56.0522,20.1886,7.57737,24.8841,51.6392,948.522,56.0522,157.672290928131
1706.53,55.8059,20.0549,7.87125,25.2812,51.4017,948.998,55.8059,149.358659195729
1709.0,55.1003,19.0327,7.73375,27.1122,51.3884,910.942,55.1003,152.845173787407
1712.07,55.4989,19.7821,7.53713,24.9407,51.6943,911.418,55.4989,134.58519610889
1712.21,55.4411,19.5826,7.5445,24.9407,51.3256,910.824,55.4411,119.426149260529
1712.37,55.4054,19.795,7.57325,24.9407,51.643,911.18,55.4054,131.713590847067
1712.47,55.4602,19.4172,7.29525,24.686,51.7855,911.537,55.4602,135.36632556974
1712.5,55.4461,19.3481,7.35413,24.686,51.7665,911.537,55.4461,138.886924007627
1712.56,55.4658,19.272,7.30288,24.686,51.4188,911.299,55.4658,147.27711836106
1712.58,55.4408,19.2656,7.358,24.686,51.3694,911.418,55.4408,147.080839102658
1712.73,55.3985,19.0319,7.21712,24.686,51.7095,911.537,55.3985,150.843123911981
1712.8,55.409,19.0707,7.338,24.686,51.6924,911.061,55.409,127.925495983991
1712.82,55.432,19.1172,7.38737,24.686,51.7475,911.061,55.432,148.483513900392
1712.95,55.452,19.1519,7.53088,24.686,51.7741,911.894,55.452,143.775897770148
1712.99,55.4494,19.1074,7.58038,24.686,51.4928,911.18,55.4494,138.641081960231
1713.05,55.5002,19.0323,7.4105,24.686,51.4529,911.656,55.5002,130.618244345606
1713.08,55.4474,18.9762,7.5035,24.686,51.4245,911.299,55.4474,126.236819393237
1713.24,55.6004,18.7084,7.31075,24.686,51.7209,911.061,55.6004,122.44301037541
1713.26,55.5758,18.6578,7.26463,24.686,51.6848,911.537,55.5758,123.754384446582
1713.32,55.5058,18.5735,7.26425,24.686,51.7513,911.537,55.5058,133.830894529837
1713.35,55.5259,18.5697,7.33887,24.686,51.7703,911.656,55.5259,143.084322248899
1713.44,55.6572,18.5868,7.28312,24.686,51.548,911.18,55.6572,153.138506065605
1713.51,55.7587,18.6244,7.48187,24.8021,51.4073,911.061,55.7587,155.606104641542
1713.53,55.7777,18.625,7.40325,24.8021,51.567,911.299,55.7777,152.192179185894
1713.59,55.7045,18.686,7.188,24.8021,51.491,911.537,55.7045,146.732893233318
1713.62,55.7156,18.6867,7.19287,24.8021,51.3313,911.299,55.7156,153.071012882984
1713.69,55.7143,18.7694,7.25975,24.8021,51.5784,910.824,55.7143,162.676179336931
1716.79,55.8207,18.8649,7.23225,29.5215,51.0121,905.829,55.8207,145.072584125843
1716.84,55.7593,19.0285,7.53162,29.5215,50.9171,905.472,55.7593,144.552064985749
1716.97,55.7603,19.031,7.62262,29.5215,50.8867,905.829,55.7603,149.340882501529
1716.99,55.7606,19.0202,7.63825,29.5215,50.9931,905.829,55.7606,151.54543068298
1717.08,55.8407,19.1336,8.07475,29.5215,51.1831,905.71,55.8407,150.71143465766
1717.21,55.8099,18.9383,7.88325,29.5215,51.1603,905.829,55.8099,161.577627835513
1717.44,55.8657,18.8819,7.59013,29.5215,51.0729,905.829,55.8657,169.575019949534
1717.46,55.8916,18.8228,7.48037,29.5215,51.1033,905.71,55.8916,174.962409429064
1717.52,55.9297,18.7028,7.69212,29.125,51.1242,905.472,55.9297,154.073401444202
1717.55,55.934,18.701,7.77938,29.125,51.2914,905.472,55.934,159.438041388022
1717.6,55.9694,18.6525,7.53438,29.125,51.3694,905.472,55.9694,150.253752818249
1717.61,55.9626,18.6829,7.56913,29.125,51.3484,905.472,55.9626,156.16163469181
1717.7,55.9875,18.7901,7.60112,29.125,51.4473,905.472,55.9875,153.785837755108
