BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1620.47,0.01,15.61,7.628,47.729,30.739,863.73,54.767,84.0
1620.97,0.01,15.563,7.346,47.729,30.948,863.73,54.801,86.0
1621.6,0.01,15.606,7.66,47.617,30.866,863.849,54.763,87.0
1621.8,0.01,15.606,7.557,47.617,30.879,863.968,54.718,87.0
1622.3,0.01,15.048,7.554,47.617,30.648,864.444,54.96,81.0
1622.51,0.01,15.049,7.729,39.628,30.843,864.325,55.588,84.0
1623.02,0.01,14.791,0.307,39.628,0.0,864.444,55.542,80.0
1623.94,0.0,14.819,0.271,39.628,0.0,864.087,65.942,81.0
1624.6,0.108,10.797,0.274,39.628,0.041,695.218,50.335,82.0
1625.08,0.083,10.41,0.296,11.614,0.109,695.337,50.36,100.0
1625.25,0.05,10.317,1.452,11.614,11.883,695.218,50.394,97.0
1625.81,0.0,10.513,0.264,10.218,0.028,695.456,67.909,77.0
1626.08,0.0,10.329,0.262,10.218,0.049,695.456,62.734,82.0
1626.24,0.01,10.342,0.311,10.218,0.0,695.575,50.771,76.0
1626.8,0.01,10.637,0.304,13.897,0.0,695.337,50.624,71.0
1626.83,0.01,10.654,0.27,13.897,0.0,695.694,50.613,68.0
1626.95,0.01,10.687,0.301,13.897,0.071,695.694,50.671,75.0
1627.1,0.01,10.719,0.286,13.897,0.0,695.694,50.648,74.0
1628.83,0.0,10.315,0.274,14.707,0.035,695.575,66.686,76.0
1630.99,1.258,12.335,1.236,17.846,0.079,715.316,48.459,71.0
1631.57,1.099,12.854,0.295,12.864,0.0,715.197,48.618,80.0
1633.37,1.44,11.878,0.267,8.034,0.028,715.197,48.986,76.0
1634.56,1.528,11.852,0.281,13.336,0.0,714.959,48.897,90.0
1634.99,1.566,12.168,0.303,13.336,0.0,715.316,48.86,86.0
1635.82,1.934,12.256,0.273,14.739,0.032,714.959,48.491,93.0
1636.87,1.99,12.64,0.267,14.62,0.032,715.554,48.435,100.0
1637.86,1.841,12.155,0.282,13.663,0.003,714.959,48.584,94.0
1638.86,0.0,11.287,0.309,11.846,0.0,714.959,68.867,104.0
1639.86,0.0,17.654,7.573,5.794,31.852,942.932,55.694,107.0
1640.86,2.399,20.698,9.098,46.087,31.824,943.289,53.153,93.0
1642.84,3.237,21.099,9.44,42.393,32.688,943.289,52.315,71.0
1643.85,3.849,20.214,8.929,38.14,32.002,943.408,51.702,92.0
1644.12,3.759,20.298,9.001,38.14,31.911,943.289,51.793,99.0
1644.84,3.764,20.302,8.847,33.884,31.923,943.408,51.788,101.0
1646.02,4.095,20.242,8.654,33.062,31.911,943.765,51.457,110.0
