BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1620.47,0.01,15.61,7.628,47.729,30.739,863.73,54.767,84.0
1620.6366666666668,0.01,15.61,7.628,47.729,30.739,863.73,54.767,84.66666666666667
1620.8033333333333,0.01,15.61,7.628,47.729,30.739,863.73,54.767,85.33333333333333
1620.97,0.01,15.563,7.346,47.729,30.948,863.73,54.801,86.0
1621.18,0.01,15.563,7.346,47.729,30.948,863.73,54.801,86.33333333333333
1621.3899999999999,0.01,15.563,7.346,47.729,30.948,863.73,54.801,86.66666666666667
1621.6,0.01,15.606,7.66,47.617,30.866,863.849,54.763,87.0
1621.6666666666665,0.01,15.606,7.66,47.617,30.866,863.849,54.763,87.0
1621.7333333333333,0.01,15.606,7.66,47.617,30.866,863.849,54.763,87.0
1621.8,0.01,15.606,7.557,47.617,30.879,863.968,54.718,87.0
1621.9666666666667,0.01,15.606,7.557,47.617,30.879,863.968,54.718,85.0
1622.1333333333332,0.01,15.606,7.557,47.617,30.879,863.968,54.718,83.0
1622.3,0.01,15.048,7.554,47.617,30.648,864.444,54.96,81.0
1622.37,0.01,15.048,7.554,47.617,30.648,864.444,54.96,82.0
1622.44,0.01,15.048,7.554,47.617,30.648,864.444,54.96,83.0
1622.51,0.01,15.049,7.729,39.628,30.843,864.325,55.588,84.0
1622.68,0.01,15.049,7.729,39.628,30.843,864.325,55.588,82.66666666666667
1622.85,0.01,15.049,7.729,39.628,30.843,864.325,55.588,81.33333333333333
1623.02,0.01,14.791,0.307,39.628,0.0,864.444,55.542,80.0
1623.3266666666666,0.01,14.791,0.307,39.628,0.0,864.444,55.542,80.33333333333333
1623.6333333333334,0.01,14.791,0.307,39.628,0.0,864.444,55.542,80.66666666666667
1623.94,0.0,14.819,0.271,39.628,0.0,864.087,65.942,81.0
1624.16,0.0,14.819,0.271,39.628,0.0,864.087,65.942,81.33333333333333
1624.3799999999999,0.0,14.819,0.271,39.628,0.0,864.087,65.942,81.66666666666667
1624.6,0.108,10.797,0.274,39.628,0.041,695.218,50.335,82.0
1624.76,0.108,10.797,0.274,39.628,0.041,695.218,50.335,88.0
1624.9199999999998,0.108,10.797,0.274,39.628,0.041,695.218,50.335,94.0
1625.08,0.083,10.41,0.296,11.614,0.109,695.337,50.36,100.0
1625.1366666666665,0.083,10.41,0.296,11.614,0.109,695.337,50.36,99.0
1625.1933333333334,0.083,10.41,0.296,11.614,0.109,695.337,50.36,98.0
1625.25,0.05,10.317,1.452,11.614,11.883,695.218,50.394,97.0
1625.4366666666667,0.05,10.317,1.452,11.614,11.883,695.218,50.394,90.33333333333333
1625.6233333333332,0.05,10.317,1.452,11.614,11.883,695.218,50.394,83.66666666666667
1625.81,0.0,10.513,0.264,10.218,0.028,695.456,67.909,77.0
1625.8999999999999,0.0,10.513,0.264,10.218,0.028,695.456,67.909,78.66666666666667
1625.99,0.0,10.513,0.264,10.218,0.028,695.456,67.909,80.33333333333333
1626.08,0.0,10.329,0.262,10.218,0.049,695.456,62.734,82.0
1626.1333333333332,0.0,10.329,0.262,10.218,0.049,695.456,62.734,80.0
1626.1866666666667,0.0,10.329,0.262,10.218,0.049,695.456,62.734,78.0
1626.24,0.01,10.342,0.311,10.218,0.0,695.575,50.771,76.0
1626.4266666666667,0.01,10.342,0.311,10.218,0.0,695.575,50.771,74.33333333333333
1626.6133333333332,0.01,10.342,0.311,10.218,0.0,695.575,50.771,72.66666666666667
1626.8,0.01,10.637,0.304,13.897,0.0,695.337,50.624,71.0
1626.81,0.01,10.637,0.304,13.897,0.0,695.337,50.624,70.0
1626.82,0.01,10.637,0.304,13.897,0.0,695.337,50.624,69.0
1626.83,0.01,10.654,0.27,13.897,0.0,695.694,50.613,68.0
1626.87,0.01,10.654,0.27,13.897,0.0,695.694,50.613,70.33333333333333
1626.91,0.01,10.654,0.27,13.897,0.0,695.694,50.613,72.66666666666667
1626.95,0.01,10.687,0.301,13.897,0.071,695.694,50.671,75.0
