BD,WOBA,SPPA,TQA,ROPA,RPMA,MFIA,HKLA,Gamma
1623.53,65.8026,14.8023,0.31175,39.6279,0.0,864.087,65.8026,215.619109390987
1624.03,65.9119,14.7902,0.267875,39.6279,0.027726,864.563,65.9119,213.631373603834
1624.2,66.0525,14.7663,0.291,39.6279,0.071427,864.325,66.0525,215.228970435936
1624.86,50.361,10.787,0.29675,11.6142,0.0,695.337,50.361,194.868126268362
1625.36,51.1921,10.3673,0.2985,11.6142,0.0,695.575,51.1921,134.434365324254
1625.57,51.2866,10.4634,0.29575,11.6142,0.077124,695.575,51.2866,151.94430332775
1626.08,62.7343,10.3291,0.261625,10.2175,0.048628,695.456,62.7343,141.561880281363
1626.28,50.9619,10.3508,0.277625,10.2175,0.0,695.575,50.9619,125.138893122694
1626.8,50.6237,10.6372,0.303875,13.8968,0.0,695.337,50.6237,136.340695169475
1627.0,50.718,10.6962,0.296375,13.8968,0.0,695.694,50.718,141.515346072594
1627.46,50.7363,10.7489,0.259625,13.8968,0.037231,695.575,50.7363,135.152896274422
1628.31,50.1608,10.8976,0.29225,14.7067,0.03533,695.099,50.1608,170.238789645796
1628.72,66.916,10.3798,0.2815,14.7067,0.0,695.337,66.916,160.04354391329
1628.87,66.7046,10.3083,0.30375,14.7067,0.080926,695.694,66.7046,154.365093711494
1629.48,48.4616,11.8831,0.294625,14.8096,0.01441,714.959,48.4616,161.531619316135
1629.86,48.4449,12.1271,0.310625,14.8096,0.0,715.554,48.4449,155.748416586674
1630.01,48.5197,11.8982,0.274875,17.8464,0.0,715.554,48.5197,140.098670177883
1630.48,48.5371,11.978,0.292,17.8464,0.050529,715.197,48.5371,141.366879541327
1632.51,47.9491,11.5349,0.281625,12.8642,0.0,715.197,47.9491,165.890338103999
1634.05,49.1422,11.9418,0.300625,8.03422,0.0,714.959,49.1422,160.088086110077
1635.97,48.4622,12.5597,0.294375,14.739,0.073328,714.959,48.4622,165.776861739254
1637.62,48.6149,12.185,0.292,13.6626,0.0,715.435,48.6149,152.501533133871
1638.05,48.5509,11.9797,0.306,13.6626,0.0,714.959,48.5509,148.510948432646
1639.19,46.3385,12.6135,0.28025,11.8463,0.0,714.959,46.3385,160.648023018093
1640.21,53.7653,20.4566,8.47262,40.6946,31.6015,943.051,53.7653,135.995393408543
1641.21,52.536,20.8913,9.0045,46.0867,31.5331,942.932,52.536,144.267936980384
1642.2,52.4283,20.9546,8.86413,43.559,31.7022,943.408,52.4283,137.147227750824
1643.2,51.6147,21.4662,9.21813,42.3931,31.955,943.289,51.6147,161.612992952196
