MD,TVD,RPMA,WOBA,ROPA
246.277,246.29913,148.634,1.4664642,4.90728
246.302,246.31741,148.634,1.4664642,4.90728
246.327,246.33266,148.634,1.4664642,4.90728
246.427,246.43019,148.294,1.4469596,6.2188344
246.452,246.46066,148.294,1.4469596,6.2188344
246.477,246.47896,148.294,1.4469596,6.2188344
246.552,246.56583,148.294,1.4469596,6.2188344
246.577,246.59782,148.541,1.4764432,6.1228223
246.627,246.6344,148.541,1.4764432,6.1228223
246.702,246.70451,148.541,1.4764432,6.1228223
246.727,246.73906,146.451,1.4087067,6.2101984
246.777,246.77766,145.406,1.3748385,6.253886
246.877,246.8935,138.18,1.6714879,6.7336416
246.952,246.95749,138.18,1.6714879,6.7336416
247.052,247.07637,138.87,1.7213831,7.475525
247.077,247.09161,138.87,1.7213831,7.475525
247.177,247.19218,139.417,1.5866661,7.9440026
247.202,247.20743,139.417,1.5866661,7.9440026
247.227,247.23181,139.417,1.5866661,7.9440026
247.327,247.34612,139.7085,1.5807694,7.81431
247.377,247.38269,140.0,1.5748727,7.6846175
247.402,247.4025,140.0,1.5748727,7.6846175
247.477,247.48936,139.7825,1.496628,7.2354946
247.502,247.51985,139.565,1.4183834,6.786372
247.627,247.64938,139.144,1.5326886,6.1322713
247.677,247.69206,139.144,1.5326886,6.1322713
247.777,247.80026,139.216,1.5168129,6.074207
247.802,247.80789,139.288,1.5009371,6.0161424
247.827,247.8475,139.288,1.5009371,6.0161424
247.927,247.93895,139.288,1.5009371,6.0161424
247.952,247.9618,139.195,1.6905388,5.9536586
247.977,247.98772,139.195,1.6905388,5.9536586
248.002,248.00296,139.195,1.6905388,5.9536586
248.052,248.07,139.195,1.6905388,5.9536586
248.127,248.14012,139.387,1.3911678,5.9079385
248.152,248.15993,139.387,1.3911678,5.9079385
248.227,248.23918,139.387,1.3911678,5.9079385
248.252,248.26357,139.585,1.5349566,5.948477
248.277,248.30167,139.585,1.5349566,5.948477
248.352,248.36871,139.585,1.5349566,5.948477
248.377,248.3931,139.585,1.5349566,5.948477
248.402,248.41748,139.543,1.4206513,5.9493914
248.427,248.44644,139.543,1.4206513,5.9493914
248.552,248.56683,139.778,1.4723608,5.986577
248.677,248.6918,139.778,1.4723608,5.986577
248.752,248.76192,139.71,1.4433309,5.933542
248.802,248.82591,139.71,1.4433309,5.933542
248.852,248.86757,139.474,1.4218609,5.849823
248.902,248.92346,139.356,1.4111259,5.807964
249.027,249.03319,139.551,1.4768968,5.882335
