MD,TVD,RPMA,WOBA,ROPA
1565.4,1508.11,22.32,0.27,24.45
1565.5,1508.21,22.44,0.54,24.4
1565.6,1508.31,22.56,0.81,24.35
1565.7,1508.41,22.68,1.07,24.29
1565.8,1508.5,22.79,1.34,24.24
1565.9,1508.6,22.91,1.61,24.19
1566.0,1508.7,23.03,1.88,24.14
1566.1,1508.8,23.15,2.15,24.09
1566.2,1508.9,23.27,2.42,24.04
1566.3,1508.99,23.39,2.68,23.99
1566.4,1509.09,23.51,2.95,23.93
1566.5,1509.19,23.63,3.22,23.88
1566.6,1509.29,23.75,3.49,23.83
1566.7,1509.38,23.87,3.76,23.78
1566.8,1509.48,23.99,4.03,23.73
1566.9,1509.58,24.11,4.29,23.68
1567.0,1509.68,24.23,4.56,23.62
1567.1,1509.78,24.35,4.83,23.57
1567.2,1509.87,24.47,5.1,23.52
1567.3,1509.97,24.59,5.37,23.47
1567.4,1510.07,24.71,5.64,23.42
1567.5,1510.17,24.83,5.91,23.37
1567.6,1510.26,24.95,6.17,23.32
1567.7,1510.36,25.07,6.44,23.26
1567.8,1510.46,25.19,6.71,23.21
1567.9,1510.56,25.31,6.98,23.16
1568.0,1510.66,25.42,7.25,23.11
1568.1,1510.75,25.54,7.52,23.06
1568.2,1510.85,25.66,7.78,23.01
1568.3,1510.95,25.78,8.05,22.95
1568.4,1511.05,25.9,8.32,22.9
1568.5,1511.14,26.02,8.59,22.85
1568.6,1511.24,26.14,8.86,22.8
1568.7,1511.34,26.26,9.13,22.75
1568.8,1511.44,26.38,9.39,22.7
1568.9,1511.54,26.5,9.66,22.65
1569.0,1511.63,26.62,9.93,22.59
1569.1,1511.73,26.74,10.2,22.54
1569.2,1511.83,26.86,10.47,22.49
1590.2,1532.23,50.49,1.24,12.26
1590.3,1532.32,50.63,1.25,12.68
1590.4,1532.42,50.75,1.3,13.1
1590.5,1532.52,50.54,1.51,13.1
1590.6,1532.61,50.68,1.37,13.1
1590.7,1532.71,50.58,1.33,13.1
1590.8,1532.81,50.52,1.42,13.1
1590.9,1532.9,50.57,1.75,22.97
1591.0,1533.0,50.72,1.75,22.97
1591.1,1533.1,50.56,1.67,22.97
1591.2,1533.19,50.55,1.67,22.97
1591.3,1533.29,50.54,1.74,25.07
1591.4,1533.39,50.65,1.7,25.08
1591.5,1533.48,50.7,1.51,25.08
1591.6,1533.58,50.59,1.44,25.08
1591.7,1533.68,50.65,1.54,25.08
1591.8,1533.77,50.63,1.38,19.59
1591.9,1533.87,50.69,1.4,19.58
1592.0,1533.97,50.52,1.4,19.58
1592.1,1534.06,50.55,1.46,19.58
1592.2,1534.16,50.33,1.47,19.58
